date,tag,asset,download_count,delta
2026-09-24,v3.0.2,sparkbridge-3.0.2-ign81-bundle.zip,1,
2026-09-24,v3.0.2,sparkbridge-3.0.2-ign83-bundle.zip,0,
2026-09-24,v3.0.2,sparkbridge-broker-extension-3.0.2.zip,0,
2026-09-24,v3.0.2,SparkBridge-Edge.modl,0,
2026-09-24,v3.0.2,SparkBridge-Flow.modl,0,
2026-09-24,v3.0.2,SparkBridge-Host.modl,0,
2026-09-24,v3.0.2,SparkBridge-Provider.modl,0,
2026-09-24,v3.0.2,sparkbridge-signing-cert.pem,0,
2026-09-24,v3.0.2-ign83,NOTES.md,1,
2026-09-24,v3.0.2-ign83,SHA256SUMS.txt,1,
2026-09-24,v3.0.2-ign83,sparkbridge-3.0.2-ign83-bundle.zip,1,
2026-09-24,v3.0.2-ign83,sparkbridge-broker-extension-3.0.2.zip,1,
2026-09-24,v3.0.2-ign83,sparkbridge-signing-cert.pem,1,
2026-09-24,v3.0.3,NOTES.md,0,
2026-09-24,v3.0.3,SHA256SUMS.txt,0,
2026-09-24,v3.0.3,sparkbridge-3.0.3-ign81-bundle.zip,0,
2026-09-24,v3.0.3,sparkbridge-3.0.3-ign83-bundle.zip,0,
2026-09-24,v3.0.3,sparkbridge-broker-extension-3.0.3.zip,0,
2026-09-24,v3.0.3,SparkBridge-Edge.modl,0,
2026-09-24,v3.0.3,SparkBridge-Flow.modl,0,
2026-09-24,v3.0.3,SparkBridge-Host.modl,0,
2026-09-24,v3.0.3,SparkBridge-Provider.modl,0,
2026-09-24,v3.0.3,sparkbridge-signing-cert.pem,0,
2026-09-24,v3.0.3-ign83,NOTES.md,0,
2026-09-24,v3.0.3-ign83,SHA256SUMS.txt,0,
2026-09-24,v3.0.3-ign83,sparkbridge-3.0.3-ign83-bundle.zip,0,
2026-09-24,v3.0.3-ign83,sparkbridge-broker-extension-3.0.3.zip,0,
2026-09-24,v3.0.3-ign83,sparkbridge-signing-cert.pem,0,
2026-09-24,v3.1.0,NOTES.md,0,
2026-09-24,v3.1.0,SHA256SUMS.txt,1,
2026-09-24,v3.1.0,sparkbridge-3.1.0-ign81-bundle.zip,2,
2026-09-24,v3.1.0,sparkbridge-3.1.0-ign83-bundle.zip,1,
2026-09-24,v3.1.0,sparkbridge-broker-extension-3.1.0.zip,1,
2026-09-24,v3.1.0,SparkBridge-Edge.modl,0,
2026-09-24,v3.1.0,SparkBridge-Flow.modl,0,
2026-09-24,v3.1.0,SparkBridge-Host.modl,0,
2026-09-24,v3.1.0,SparkBridge-Provider.modl,0,
2026-09-24,v3.1.0,sparkbridge-signing-cert.pem,1,
2026-09-24,v3.1.0-ign83,NOTES.md,0,
2026-09-24,v3.1.0-ign83,SHA256SUMS.txt,0,
2026-09-24,v3.1.0-ign83,sparkbridge-3.1.0-ign83-bundle.zip,1,
2026-09-24,v3.1.0-ign83,sparkbridge-broker-extension-3.1.0.zip,0,
2026-09-24,v3.1.0-ign83,sparkbridge-signing-cert.pem,0,
